
q1,q2
0.09800000000000007,0.26071673404409745,-0.8381282319155761
0.19800000000000015,-0.09080279727840915,-1.2642412320855703
0.2980000000000002,-0.579651526621521,-1.4700843735800062
0.3980000000000003,-0.9191173380348526,-1.604165902200381
0.4980000000000004,-1.0067696717892562,-1.6759184742527002
0.5980000000000004,-0.9040024455792852,-1.6718505932454053
0.6980000000000005,-0.7380023074021422,-1.6367223809374591
0.7980000000000006,-0.6024520882939093,-1.614656324163429
0.8980000000000007,-0.5355235478149717,-1.6119643433702853
0.9980000000000008,-0.5330324849381718,-1.6190819327659065
1.0980000000000008,-0.567673736664282,-1.62842512628495
1.1980000000000008,-0.6092157705698101,-1.6364266553615905
1.298000000000001,-0.6379731128596164,-1.6413070932689484
1.398000000000001,-0.6481783315946039,-1.6425827355392235
1.498000000000001,-0.6440981089886443,-1.6412515957607483
1.5980000000000012,-0.6337790637414457,-1.6390398166411366
1.6980000000000013,-0.6241170518138529,-1.6373000628101904
1.7980000000000014,-0.6186454772090665,-1.6365417912259987
1.8980000000000015,-0.6176544953128392,-1.636620386357
1.9980000000000016,-0.6195294131413346,-1.6371252254734605
2.0979999999999905,-0.6222414490719408,-1.6376689297421505
2.1979999999999795,-0.6243381009758671,-1.6380223664239142
2.2979999999999685,-0.625262511634928,-1.6381312938277064
2.3979999999999575,-0.6251733652717882,-1.6380616227378861
2.4979999999999465,-0.6245607290495522,-1.6379210992754945
2.5979999999999355,-0.623902642388428,-1.6377976221362116
2.6979999999999245,-0.6234807359782456,-1.637732749845766
2.7979999999999134,-0.6233565736687848,-1.6377259501808112
2.8979999999999024,-0.6234459174270756,-1.637753851982563
2.9979999999998914,-0.6236175440035175,-1.6377898261333514
3.0979999999998804,-0.6237664092307684,-1.6378159892657258
3.1979999999998694,-0.6238436160975981,-1.6378263600655314
3.2979999999998584,-0.6238506494272003,-1.6378239020126295
3.3979999999998474,-0.6238161897346229,-1.637815344023041
3.4979999999998364,-0.6237725280555262,-1.637806820891935
3.5979999999998253,-0.6237411261622421,-1.6378017018559197
3.6979999999998143,-0.623728952862295,-1.637800492682512
3.7979999999998033,-0.6237322173277468,-1.6378019197598042
3.8979999999997923,-0.62374269973107,-1.6378042341723713
3.9979999999997813,-0.623753001072118,-1.6378061191585696
4.097999999999771,-0.6237591126470429,-1.6378070189637621
4.19799999999976,-0.6237604870904384,-1.6378070181870426
4.297999999999749,-0.6237587032977412,-1.6378065210387707
4.397999999999738,-0.6237558859382442,-1.6378059475245206
4.497999999999727,-0.6237536171273381,-1.637805559599016
4.597999999999716,-0.6237525516198307,-1.6378054280440686
4.697999999999705,-0.6237525727732705,-1.6378054901087415
4.797999999999694,-0.6237531848263194,-1.637805634314062
4.897999999999683,-0.6237538797619402,-1.6378057665673653
4.997999999999672,-0.6237543445000447,-1.637805839721288
5.097999999999661,-0.6237544977701066,-1.6378058512376503
5.19799999999965,-0.6237544184120563,-1.6378058241883187
5.2979999999996386,-0.6237542422658691,-1.6378057866091495
5.3979999999996275,-0.623754082675257,-1.637805758142664
5.4979999999996165,-0.623753995576745,-1.6378057460038051
5.5979999999996055,-0.623753983038303,-1.6378057476891412
5.6979999999995945,-0.6237540165981345,-1.6378057563294541
5.7979999999995835,-0.6237540622572249,-1.6378057653750373
5.8979999999995725,-0.6237540964612567,-1.6378057710527978
5.9979999999995615,-0.6237541107678838,-1.6378057726189699
6.0979999999995504,-0.6237541084209066,-1.637805771295774
6.197999999999539,-0.6237540978212093,-1.6378057689044228
6.297999999999528,-0.6237540868784593,-1.6378057668734096
6.397999999999517,-0.6237540800910722,-1.637805765847488
6.497999999999506,-0.6237540782901537,-1.6378057657831966
6.597999999999495,-0.623754079954305,-1.6378057662747738
6.697999999999484,-0.6237540828687448,-1.6378057668777461
6.797999999999473,-0.6237540853156156,-1.6378057673027568
6.897999999999462,-0.6237540865331486,-1.6378057674608812
6.997999999999451,-0.6237540865893041,-1.6378057674090376
7.09799999999944,-0.6237540859826604,-1.6378057672619775
7.197999999999429,-0.623754085251333,-1.6378057671207926
7.297999999999418,-0.6237540847415982,-1.6378057670389021
7.397999999999407,-0.623754084556451,-1.6378057670222252
7.497999999999396,-0.6237540846238233,-1.6378057670481354
7.597999999999385,-0.6237540848037124,-1.6378057670872457
7.697999999999374,-0.6237540849742343,-1.6378057671181074
7.797999999999363,-0.6237540850718891,-1.637805767132167
7.897999999999352,-0.623754085090585,-1.6378057671313795
7.997999999999341,-0.623754085058313,-1.637805767122716
8.097999999999374,-0.623754085010744,-1.6378057671131467
8.197999999999407,-0.6237540849736252,-1.637805767106879
8.29799999999944,-0.6237540849570063,-1.6378057671049207
8.397999999999474,-0.6237540849582919,-1.637805767106115
8.497999999999507,-0.6237540849689417,-1.6378057671085748
8.59799999999954,-0.6237540849805273,-1.6378057671107558
8.697999999999574,-0.623754084988029,-1.637805767111916
8.797999999999607,-0.6237540849903003,-1.6378057671120545
8.89799999999964,-0.6237540849887847,-1.6378057671115733
8.997999999999674,-0.6237540849857831,-1.6378057671109423
9.097999999999708,-0.6237540849831532,-1.6378057671104782
9.197999999999741,-0.6237540849817722,-1.6378057671102912
9.297999999999774,-0.6237540849816291,-1.637805767110331
9.397999999999808,-0.6237540849822252,-1.6378057671104806
9.497999999999841,-0.623754084982992,-1.6378057671106303
9.597999999999875,-0.6237540849835489,-1.6378057671107211
9.697999999999908,-0.6237540849837686,-1.6378057671107438
9.797999999999941,-0.6237540849837152,-1.6378057671107193
9.897999999999975,-0.6237540849835324,-1.6378057671106767
9.998000000000008,-0.6237540849833506,-1.6378057671106452
10.098000000000042,-0.6237540849832419,-1.637805767110629
10.198000000000075,-0.6237540849832166,-1.637805767110628
10.298000000000108,-0.6237540849832472,-1.6378057671106392
10.398000000000142,-0.6237540849832969,-1.6378057671106503
10.498000000000175,-0.623754084983337,-1.6378057671106525
10.598000000000209,-0.6237540849833554,-1.6378057671106525
10.698000000000242,-0.6237540849833549,-1.6378057671106525
10.798000000000275,-0.6237540849833447,-1.6378057671106525
10.898000000000309,-0.6237540849833336,-1.6378057671106525
10.998000000000342,-0.6237540849833257,-1.6378057671106525
11.098000000000376,-0.623754084983323,-1.6378057671106525
11.198000000000409,-0.623754084983323,-1.6378057671106525
11.298000000000442,-0.6237540849833265,-1.6378057671106525
11.398000000000476,-0.6237540849833279,-1.6378057671106525
11.49800000000051,-0.6237540849833279,-1.6378057671106525
11.598000000000543,-0.6237540849833279,-1.6378057671106525
11.698000000000576,-0.6237540849833279,-1.6378057671106525
11.79800000000061,-0.6237540849833279,-1.6378057671106525
11.898000000000643,-0.6237540849833279,-1.6378057671106525
11.998000000000676,-0.6237540849833279,-1.6378057671106525
12.09800000000071,-0.6237540849833279,-1.6378057671106525
12.198000000000743,-0.6237540849833279,-1.6378057671106525
12.298000000000776,-0.6237540849833279,-1.6378057671106525
12.39800000000081,-0.6237540849833279,-1.6378057671106525
12.498000000000843,-0.6237540849833279,-1.6378057671106525
12.598000000000876,-0.6237540849833279,-1.6378057671106525
12.69800000000091,-0.6237540849833279,-1.6378057671106525
12.798000000000943,-0.6237540849833279,-1.6378057671106525
12.898000000000977,-0.6237540849833279,-1.6378057671106525
12.99800000000101,-0.6237540849833279,-1.6378057671106525
13.098000000001043,-0.6237540849833279,-1.6378057671106525
13.198000000001077,-0.6237540849833279,-1.6378057671106525
